Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
147.60,6.39,32.704,5.118
147.80,5.078,25.9181,5.104
148.00,5.23,26.7253,5.11
148.20,6.803,34.7225,5.104
148.40,9.143,46.6842,5.106
148.60,5.397,27.5895,5.112
148.80,5.168,26.4602,5.12
149.00,5.203,26.5457,5.102
149.20,6.83,34.9423,5.116
149.40,8.9,45.5502,5.118
149.60,5.638,28.7876,5.106
149.80,5.166,26.3983,5.11
150.00,5.201,26.5979,5.114
150.20,6.826,34.8809,5.11
150.40,8.669,44.2812,5.108
150.60,5.105,26.0763,5.108
150.80,5.226,26.6526,5.1
151.00,6.835,34.9405,5.112
151.20,8.381,42.8772,5.116
151.40,6.174,31.5121,5.104
151.60,5.099,26.0559,5.11
151.80,5.232,26.7355,5.11
152.00,6.819,34.7905,5.102
152.20,8.15,41.6302,5.108
152.40,6.473,33.1159,5.116
152.60,5.057,25.8109,5.104
152.80,5.236,26.756,5.11
153.00,6.836,35.0003,5.12
153.20,9.122,46.5587,5.104
153.40,5.436,27.7562,5.106
153.60,5.19,26.5313,5.112
153.80,5.2,26.572,5.11
154.00,6.822,34.8195,5.104
154.20,8.864,45.2419,5.104
154.40,5.692,29.1089,5.114
154.60,5.149,26.3526,5.118
154.80,5.228,26.7255,5.112
155.00,6.818,34.9082,5.12
155.20,8.626,44.1479,5.118
155.40,5.942,30.423,5.12
155.60,5.102,26.112,5.118
155.80,5.204,26.5924,5.11
156.00,6.813,34.7872,5.106
156.20,8.355,42.7275,5.114
156.40,6.248,31.9773,5.118
156.60,5.085,25.9742,5.108
156.80,5.224,26.7051,5.112
157.00,6.822,34.8468,5.108
157.20,9.328,47.6661,5.11
157.40,5.287,27.0377,5.114
157.60,5.167,26.455,5.12
157.80,5.19,26.4794,5.102
158.00,6.824,34.8843,5.112
158.20,9.067,46.3868,5.116
158.40,5.483,27.9962,5.106
158.60,5.156,26.3678,5.114
158.80,5.219,26.69,5.114
159.00,6.817,34.8212,5.108
159.20,8.86,45.3278,5.116
159.40,5.686,29.0327,5.106
159.60,5.133,26.2194,5.108
159.80,5.221,26.6793,5.11
160.00,6.813,34.8689,5.118
160.20,8.576,43.892,5.118
160.40,5.985,30.6432,5.12
160.60,5.108,26.1121,5.112
160.80,5.212,26.6333,5.11
161.00,6.774,34.6016,5.108
161.20,9.478,48.3947,5.106
161.40,5.103,26.0763,5.11
161.60,5.204,26.6028,5.112
161.80,5.184,26.4902,5.11
162.00,6.791,34.7428,5.116
162.20,9.287,47.4937,5.114
162.40,5.286,27.0432,5.116
162.60,5.168,26.4498,5.118
162.80,5.204,26.6028,5.112
163.00,6.798,34.7922,5.118
163.20,9.053,46.2246,5.106
163.40,5.694,29.1305,5.116
163.60,3.232,16.5349,5.116
163.80,3.335,17.0018,5.098
164.00,4.905,25.0449,5.106
164.20,6.906,35.2758,5.108
164.40,3.878,19.8088,5.108
164.60,3.24,16.5629,5.112
164.80,3.324,16.979,5.108
165.00,4.898,25.0484,5.114
165.20,6.647,34.0061,5.116
165.40,4.139,21.1751,5.116
165.60,3.199,16.3725,5.118
165.80,3.333,17.005,5.102
166.00,7.552,38.6662,5.12
166.20,3.237,16.5281,5.106
166.40,3.314,16.9544,5.116
166.60,3.321,16.9504,5.104
166.80,4.894,25.0083,5.11
167.00,7.362,37.6934,5.12
167.20,3.453,17.6241,5.104
167.40,3.282,16.771,5.11
167.60,3.318,16.9483,5.108
167.80,4.887,24.9921,5.114
168.00,7.133,36.4924,5.116
168.20,3.666,18.7626,5.118
168.40,3.26,16.6782,5.116
168.60,3.34,17.0741,5.112
168.80,4.869,24.9293,5.12
169.00,6.883,35.1446,5.106
169.20,3.91,19.9879,5.112
169.40,3.227,16.5029,5.114
169.60,3.333,17.005,5.102
169.80,4.9,25.0782,5.118
170.00,7.694,39.3779,5.118
170.20,3.126,15.9801,5.112
170.40,3.319,16.9866,5.118
170.60,3.316,16.9116,5.1
170.80,4.903,25.0641,5.112
171.00,7.518,38.4922,5.12
171.20,3.266,16.6827,5.108
171.40,3.322,17.002,5.118
171.60,3.305,16.8555,5.1
171.80,4.902,25.0786,5.116
172.00,7.331,37.5347,5.12
172.20,3.488,17.8167,5.108
172.40,3.293,16.8536,5.118
172.60,3.329,16.9779,5.1
172.80,4.886,24.9968,5.116
173.00,7.123,36.4413,5.116
173.20,3.713,18.9883,5.114
173.40,3.254,16.6605,5.12
173.60,3.336,17.0136,5.1
173.80,4.846,24.7437,5.106
174.00,7.823,39.9442,5.106
174.20,3.028,15.467,5.108
174.40,3.347,17.1032,5.11
174.60,3.313,16.9228,5.108
174.80,4.866,24.9042,5.118
175.00,7.695,39.3676,5.116
175.20,3.151,16.1016,5.11
175.40,3.33,17.0496,5.12
175.60,3.348,17.0882,5.104
175.80,4.85,24.8126,5.116
176.00,7.513,38.4666,5.12
176.20,3.31,16.9009,5.106
176.40,3.33,17.0163,5.11
176.60,3.338,17.0372,5.104
176.80,4.844,24.7819,5.116
177.00,7.318,37.395,5.11
177.20,3.497,17.8976,5.118
177.40,3.278,16.7375,5.106
177.60,3.342,17.0776,5.11
177.80,4.83,24.7199,5.118
178.00,7.065,36.0598,5.104
178.20,3.737,19.0961,5.11
178.40,3.264,16.7052,5.118
178.60,3.338,17.0505,5.108
178.80,4.835,24.7262,5.114
179.00,7.784,39.8541,5.12
179.20,3.059,15.6254,5.108
179.40,3.343,17.0894,5.112
179.60,3.346,17.1181,5.116
179.80,4.812,24.5701,5.106
180.00,7.681,39.2806,5.114
180.20,3.169,16.1999,5.112
180.40,3.333,17.025,5.108
180.60,3.342,17.0776,5.11
180.80,4.808,24.617,5.12
181.00,7.489,38.2388,5.106
181.20,3.342,17.0977,5.116
181.40,3.313,16.9427,5.114
181.60,3.351,17.0968,5.102
181.80,4.824,24.6603,5.112
182.00,7.259,37.079,5.108
182.20,3.564,18.1978,5.106
182.40,3.276,16.7404,5.11
182.60,3.371,17.2258,5.11
182.80,4.799,24.5133,5.108
183.00,7.911,40.5043,5.12
183.20,2.927,14.9862,5.12
183.40,3.362,17.1865,5.112
183.60,3.349,17.0933,5.104
183.80,4.79,24.5056,5.116
184.00,7.765,39.7257,5.116
184.20,3.081,15.7439,5.11
184.40,3.355,17.1306,5.106
184.60,3.374,17.2276,5.106
184.80,4.79,24.4961,5.114
185.00,7.619,38.994,5.118
185.20,3.193,16.2971,5.104
185.40,3.335,17.0552,5.114
185.60,3.374,17.2614,5.116
185.80,4.778,24.406,5.108
186.00,7.473,38.2468,5.118
186.20,3.381,17.3107,5.12
186.40,3.286,16.7915,5.11
186.60,3.393,17.3518,5.114
186.80,4.761,24.3763,5.12
187.00,7.985,40.8034,5.11
187.20,2.892,14.7839,5.112
187.40,3.381,17.3107,5.12
187.60,3.358,17.1392,5.104
187.80,4.755,24.3266,5.116
188.00,7.891,40.4019,5.12
188.20,2.979,15.2167,5.108
188.40,3.373,17.2563,5.116
188.60,3.383,17.2668,5.104
188.80,4.743,24.2557,5.114
189.00,7.799,39.9309,5.12
189.20,3.073,15.7215,5.116
189.40,3.345,17.093,5.11
189.60,3.392,17.3603,5.118
189.80,4.74,24.2119,5.108
190.00,7.609,38.9276,5.116
190.20,3.237,16.5216,5.104
190.40,3.323,16.9938,5.114
190.60,3.411,17.4507,5.116
190.80,4.727,24.1361,5.106
191.00,9.785,49.9818,5.108
191.20,4.676,23.8944,5.11
191.40,5.277,26.9233,5.102
191.60,5.286,26.9797,5.104
191.80,6.605,33.7648,5.112
192.00,9.876,50.5454,5.118
192.20,4.773,24.3709,5.106
192.40,5.247,26.7807,5.104
192.60,5.294,27.0206,5.104
192.80,6.587,33.6464,5.108
193.00,9.783,49.9324,5.104
193.20,4.861,24.8494,5.112
193.40,5.245,26.8334,5.116
193.60,5.301,27.1093,5.114
193.80,6.58,33.6106,5.108
194.00,9.637,49.2643,5.112
194.20,4.986,25.4485,5.104
194.40,5.232,26.7146,5.106
194.60,5.293,27.0472,5.11
194.80,6.565,33.5209,5.106
195.00,9.476,48.4034,5.108
195.20,5.17,26.4601,5.118
195.40,5.201,26.5459,5.104
195.60,5.336,27.267,5.11
195.80,6.55,33.5229,5.118
196.00,9.93,50.6827,5.104
196.20,4.718,24.109,5.11
196.40,5.258,26.8789,5.112
196.60,5.318,27.2069,5.116
196.80,6.54,33.4717,5.118
197.00,9.844,50.3619,5.116
197.20,4.787,24.4903,5.116
197.40,5.254,26.8795,5.116
197.60,5.333,27.273,5.114
197.80,6.54,33.4717,5.118
198.00,9.744,49.8698,5.118
198.20,4.9,25.0194,5.106
198.40,5.23,26.7148,5.108
198.60,5.337,27.3041,5.116
198.80,6.499,33.1709,5.104
199.00,9.608,49.0969,5.11
199.20,5.014,25.6617,5.118
199.40,5.203,26.5769,5.108
199.60,5.371,27.4243,5.106
199.80,6.476,33.0794,5.108
200.00,9.987,51.0535,5.112
200.20,4.659,23.8075,5.11
200.40,5.277,26.9655,5.11
200.60,5.356,27.3584,5.108
200.80,6.483,33.1281,5.11
201.00,9.923,50.7462,5.114
201.20,4.71,24.1058,5.118
201.40,5.244,26.7864,5.108
201.60,5.402,27.6042,5.11
201.80,6.438,32.9239,5.114
202.00,9.863,50.4986,5.12
202.20,4.801,24.5139,5.106
202.40,5.232,26.6937,5.102
202.60,5.397,27.5571,5.106
202.80,6.46,32.9718,5.104
203.00,9.746,49.7436,5.104
203.20,4.908,25.0701,5.108
203.40,5.241,26.7605,5.106
203.60,5.431,27.7307,5.106
203.80,6.42,32.8319,5.114
204.00,10.033,51.3288,5.116
204.20,4.647,23.7369,5.108
204.40,5.303,27.1301,5.116
204.60,5.411,27.6394,5.108
204.80,6.389,32.635,5.108
205.00,10.006,51.2107,5.118
205.20,4.663,23.8,5.104
205.40,5.266,26.9303,5.114
205.60,5.423,27.7332,5.114
205.80,6.404,32.6988,5.106
206.00,9.943,50.8883,5.118
206.20,4.741,24.1886,5.102
206.40,5.293,27.0366,5.108
206.60,5.469,27.9794,5.116
206.80,6.349,32.418,5.106
207.00,9.866,50.4547,5.114
207.20,4.797,24.551,5.118
207.40,5.248,26.8068,5.108
207.60,5.461,27.9276,5.114
207.80,6.361,32.4538,5.102
208.00,9.738,49.7612,5.11
208.20,4.923,25.1861,5.116
208.40,5.236,26.735,5.106
208.60,5.494,28.0963,5.114
208.80,6.306,32.2489,5.114
209.00,10.041,51.2493,5.104
209.20,4.645,23.736,5.11
209.40,5.292,27.0845,5.118
209.60,5.474,27.9502,5.106
209.80,6.308,32.2339,5.11
210.00,9.978,50.9676,5.108
210.20,4.684,23.9727,5.118
210.40,5.29,27.0107,5.106
210.60,5.499,28.1439,5.118
210.80,6.29,32.1042,5.104
211.00,9.948,50.8542,5.112
211.20,4.759,24.3566,5.118
211.40,5.277,26.9338,5.104
211.60,5.498,28.0618,5.104
211.80,6.304,32.2008,5.108
212.00,9.848,50.3036,5.108
212.20,4.861,24.8203,5.106
212.40,5.257,26.8528,5.108
212.60,5.541,28.3367,5.114
212.80,6.244,31.9443,5.116
213.00,10.077,51.5942,5.12
213.20,4.601,23.5479,5.118
213.40,5.323,27.1792,5.106
213.60,5.547,28.3563,5.112
213.80,6.235,31.9107,5.118
214.00,10.017,51.1268,5.104
214.20,4.631,23.6737,5.112
214.40,5.282,26.9805,5.108
214.60,5.564,28.4098,5.106
214.80,6.234,31.8807,5.114
215.00,10.017,51.267,5.118
215.20,4.674,23.8561,5.104
215.40,5.278,26.9917,5.114
215.60,5.583,28.5738,5.118
215.80,6.184,31.5631,5.104
216.00,9.943,50.8087,5.11
216.20,4.748,24.2908,5.116
216.40,5.262,26.9204,5.116
216.60,5.605,28.6079,5.104
216.80,6.181,31.6096,5.114
217.00,10.101,51.5757,5.106
217.20,4.595,23.4713,5.108
217.40,5.307,27.1612,5.118
217.60,5.602,28.5926,5.104
217.80,6.158,31.4551,5.108
218.00,10.053,51.4513,5.118
218.20,4.62,23.5805,5.104
218.40,5.566,28.4645,5.114
218.60,3.714,18.9934,5.114
218.80,4.307,22.0518,5.12
219.00,8.129,41.5067,5.106
219.20,2.784,14.2429,5.116
219.40,3.387,17.3482,5.122
219.60,3.78,19.3007,5.106
219.80,4.23,21.6238,5.112
220.00,8.116,41.5215,5.116
220.20,2.795,14.3104,5.12
220.40,3.402,17.3706,5.106
220.60,3.786,19.3389,5.108
220.80,4.213,21.5537,5.116
221.00,8.007,40.9318,5.112
221.20,2.884,14.7372,5.11
221.40,3.372,17.2174,5.106
221.60,3.815,19.4718,5.104
221.80,4.186,21.357,5.102
222.00,8.24,42.0734,5.106
222.20,2.705,13.8117,5.106
222.40,3.416,17.4558,5.11
222.60,3.813,19.4692,5.106
222.80,4.172,21.2939,5.104
223.00,8.209,41.9808,5.114
