Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
193.60,27.747,141.4542,5.098
193.80,28.682,146.2208,5.098
194.00,27.602,140.715,5.098
194.20,27.741,141.1462,5.088
194.40,39.123,199.2926,5.094
194.60,27.734,141.277,5.094
194.80,28.719,146.352,5.096
195.00,27.569,140.4916,5.096
195.20,27.731,140.9844,5.084
195.40,39.158,199.3925,5.092
195.60,27.715,141.1802,5.094
195.80,28.732,146.2459,5.09
196.00,27.543,140.1388,5.088
196.20,27.766,140.9958,5.078
196.40,39.222,200.1891,5.104
196.60,27.725,141.3975,5.1
196.80,28.711,146.3687,5.098
197.00,27.532,140.3581,5.098
197.20,27.778,141.1678,5.082
197.40,39.174,199.3173,5.088
197.60,27.692,141.1184,5.096
197.80,28.689,146.3139,5.1
198.00,27.549,140.4999,5.1
198.20,27.805,141.4162,5.086
198.40,39.152,199.2837,5.09
198.60,27.693,141.0128,5.092
198.80,28.705,146.2233,5.094
199.00,27.816,141.6391,5.092
199.20,39.054,199.0973,5.098
199.40,27.69,141.1082,5.096
199.60,28.646,145.98,5.096
199.80,27.577,140.5324,5.096
200.00,27.815,141.4115,5.084
200.20,39.055,198.79,5.09
200.40,27.671,140.9007,5.092
200.60,28.685,146.0067,5.09
200.80,27.566,140.3661,5.092
201.00,27.877,141.6152,5.08
201.20,39.041,198.7187,5.09
201.40,27.721,141.3217,5.098
201.60,28.668,146.2641,5.102
201.80,27.606,140.7906,5.1
202.00,27.902,141.9654,5.088
202.20,39.033,198.9902,5.098
202.40,27.71,141.2102,5.096
202.60,28.688,146.3088,5.1
202.80,27.604,140.7804,5.1
203.00,27.922,142.0671,5.088
203.20,39.006,198.6966,5.094
203.40,27.695,141.2999,5.102
203.60,28.71,146.4784,5.102
203.80,27.596,140.5188,5.092
204.00,27.961,142.1537,5.084
204.20,38.949,198.562,5.098
204.40,27.647,140.9997,5.1
204.60,28.724,146.435,5.098
204.80,27.577,140.5324,5.096
205.00,27.978,142.2961,5.086
205.20,38.974,198.5335,5.094
205.40,27.736,141.2872,5.094
205.60,28.685,146.1214,5.094
205.80,27.603,140.5545,5.092
206.00,28.013,142.4181,5.084
206.20,38.969,198.7419,5.1
206.40,27.666,140.9859,5.096
206.60,28.744,146.192,5.086
206.80,27.593,140.6691,5.098
207.00,28.032,142.7389,5.092
207.20,38.935,198.3349,5.094
207.40,27.727,141.1304,5.09
207.60,28.744,146.6519,5.102
207.80,27.598,140.7498,5.1
208.00,28.058,142.8713,5.092
208.20,38.893,198.3543,5.1
208.40,27.693,141.2343,5.1
208.60,28.68,146.268,5.1
208.80,27.618,140.8518,5.1
209.00,28.139,143.2275,5.09
209.20,38.849,198.0522,5.098
209.40,27.699,141.2095,5.098
209.60,28.702,146.3802,5.1
209.80,27.625,140.8322,5.098
210.00,28.151,143.176,5.086
