Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
232.80,50.166,254.9436,5.082
233.00,50.252,255.4812,5.084
233.20,50.659,257.1451,5.076
233.40,49.203,250.0496,5.082
233.60,49.228,249.9798,5.078
233.80,50.153,254.8775,5.082
234.00,50.289,255.1664,5.074
234.20,50.561,256.951,5.082
234.40,49.203,249.5576,5.072
234.60,49.215,250.1106,5.082
234.80,50.252,255.0792,5.076
235.00,50.338,255.9184,5.084
235.20,50.585,256.6683,5.074
235.40,49.228,250.2752,5.084
235.60,49.178,249.7259,5.078
235.80,50.24,255.4202,5.084
236.00,50.388,255.971,5.08
236.20,50.45,256.1851,5.078
236.40,49.228,250.2752,5.084
236.60,49.19,249.6884,5.076
236.80,50.178,255.105,5.084
237.00,50.4,255.9312,5.078
237.20,50.524,256.864,5.084
237.40,49.215,250.0122,5.08
237.60,50.277,255.4072,5.08
237.80,50.437,256.0182,5.076
238.00,50.425,255.9573,5.076
238.20,49.252,250.2986,5.082
238.40,49.141,249.538,5.078
238.60,50.289,255.6693,5.084
238.80,50.474,256.6098,5.084
239.00,50.351,255.9845,5.084
239.20,49.166,249.8616,5.082
239.40,49.252,250.2986,5.082
239.60,50.289,255.5687,5.082
239.80,50.585,257.1741,5.084
240.00,50.338,255.717,5.08
240.20,49.24,249.9423,5.076
240.40,49.178,249.8242,5.08
240.60,50.351,255.6824,5.078
240.80,50.561,256.8499,5.08
241.00,50.301,255.5291,5.08
241.20,49.215,250.1106,5.082
241.40,49.252,250.2986,5.082
241.60,50.301,255.6297,5.082
241.80,50.635,257.4283,5.084
242.00,50.252,255.2802,5.08
242.20,49.215,250.3075,5.086
242.40,49.178,250.021,5.084
242.60,50.338,255.8177,5.082
242.80,50.647,257.1855,5.078
243.00,50.252,255.3806,5.082
243.20,49.141,249.538,5.078
243.40,49.24,250.3362,5.084
243.60,50.351,255.6824,5.078
243.80,50.659,257.6517,5.086
244.00,50.166,254.9436,5.082
244.20,49.302,250.257,5.076
244.40,49.228,250.1767,5.082
244.60,50.388,255.971,5.08
244.80,50.696,257.7385,5.084
245.00,50.153,254.5766,5.076
245.20,49.24,250.2377,5.082
245.40,49.252,250.2001,5.08
245.60,50.338,255.6164,5.078
245.80,50.721,257.967,5.086
246.00,50.092,254.3672,5.078
246.20,49.215,250.3075,5.086
246.40,49.228,250.1767,5.082
246.60,50.425,256.159,5.08
246.80,50.758,257.8506,5.08
247.00,50.141,254.8165,5.082
247.20,49.252,250.0032,5.076
247.40,49.215,250.1106,5.082
247.60,50.376,256.2123,5.086
247.80,50.13,254.8609,5.084
248.00,49.278,250.5294,5.084
248.20,49.228,250.1767,5.082
248.40,50.401,256.1379,5.082
248.60,50.895,258.7502,5.084
248.80,50.056,254.3846,5.082
249.00,49.204,249.9563,5.08
249.20,49.228,250.1767,5.082
249.40,50.401,255.7347,5.074
249.60,50.833,258.435,5.084
249.80,50.018,253.9914,5.078
250.00,49.216,249.9189,5.078
250.20,49.204,250.0547,5.082
250.40,50.451,256.0893,5.076
250.60,50.846,258.6028,5.086
250.80,49.957,253.7816,5.08
251.00,49.253,250.2052,5.08
251.20,49.241,250.2428,5.082
251.40,50.389,255.7746,5.076
251.60,50.957,258.9635,5.082
251.80,49.932,253.4548,5.076
252.00,49.241,250.0458,5.078
252.20,49.204,250.1531,5.084
252.40,50.475,256.312,5.078
252.60,50.932,258.7346,5.08
252.80,49.204,250.3499,5.088
253.00,49.179,249.731,5.078
253.20,50.5,256.641,5.082
253.40,51.043,259.5026,5.084
253.60,49.883,253.3059,5.078
253.80,49.228,250.2752,5.084
254.00,49.216,249.9189,5.078
254.20,50.475,256.1101,5.074
254.40,51.043,259.2984,5.08
254.60,49.883,253.1063,5.074
254.80,49.191,249.9887,5.082
255.00,49.204,249.9563,5.08
255.20,50.475,256.5139,5.082
255.40,50.994,259.2535,5.084
255.60,49.796,252.9637,5.08
255.80,49.253,250.0082,5.076
256.00,49.204,250.0547,5.082
256.20,50.537,256.6269,5.078
256.40,51.068,259.3233,5.078
256.60,49.809,253.1293,5.082
256.80,49.204,250.0547,5.082
257.00,49.167,249.5717,5.076
257.20,50.488,256.479,5.08
257.40,51.142,259.6991,5.078
257.60,49.772,252.6427,5.076
257.80,49.179,249.731,5.078
258.00,49.253,250.1067,5.078
258.20,50.488,256.2771,5.076
258.40,51.08,259.3842,5.078
258.60,49.772,252.8418,5.08
258.80,49.216,250.2141,5.084
259.00,49.204,250.1531,5.084
259.20,50.562,257.0572,5.084
259.40,51.092,259.6495,5.082
259.60,49.722,252.4883,5.078
259.80,49.253,250.3037,5.082
260.00,49.179,250.026,5.084
260.20,50.525,256.667,5.08
260.40,51.129,259.5308,5.076
260.60,49.735,252.5543,5.078
260.80,49.216,249.9189,5.078
261.00,49.278,250.4308,5.082
261.20,50.537,256.6269,5.078
261.40,51.191,260.3574,5.086
261.60,49.685,252.5986,5.084
261.80,49.253,250.3037,5.082
262.00,49.142,249.5431,5.078
262.20,50.488,256.2771,5.076
262.40,51.142,259.8014,5.08
262.60,49.636,252.3494,5.084
262.80,49.204,249.8579,5.078
263.00,49.253,250.0082,5.076
263.20,50.549,256.7889,5.08
263.40,51.315,260.7828,5.082
